seed,method,call,best_feasible_qor,cum_failed_eda_runtime_s,cum_total_eda_runtime_s,cum_optimizer_overhead_s
103,flowguard_calibrated,5,-0.093068237,2060.916,3272.891,0.0000
103,flowguard_calibrated,6,-0.093068237,2060.916,4061.521,0.0000
103,flowguard_calibrated,7,-0.093068237,3398.215,5398.821,0.0000
103,flowguard_calibrated,8,-0.093068237,3937.978,5938.584,0.0000
103,flowguard_calibrated,9,-0.093068237,5276.120,7276.726,0.2567
103,flowguard_calibrated,10,-0.093068237,5922.931,7923.537,0.5265
103,flowguard_calibrated,11,-0.093068237,6500.943,8501.548,0.7411
103,flowguard_calibrated,12,-0.093068237,7085.902,9086.507,0.9660
103,flowguard_calibrated,13,-0.093068237,7618.551,9619.156,1.1672
103,flowguard_calibrated,14,-0.093068237,8320.710,10321.316,1.3631
103,flowguard_calibrated,15,-0.093068237,9080.366,11080.972,1.6146
103,flowguard_calibrated,16,-0.093068237,9587.121,11587.727,1.8283
103,flowguard_calibrated,17,-0.093068237,10342.760,12343.365,2.1042
103,flowguard_calibrated,18,-0.093068237,10861.805,12862.410,2.3572
103,flowguard_calibrated,19,-0.093068237,11362.407,13363.012,2.5647
103,flowguard_calibrated,20,-0.093068237,11362.407,13974.887,2.7702
103,flowguard_calibrated,21,-0.093068237,12707.602,15320.083,2.9783
103,flowguard_calibrated,22,-0.093068237,13463.570,16076.050,3.1893
103,flowguard_calibrated,23,-0.093068237,13964.555,16577.036,3.3972
103,flowguard_calibrated,24,-0.093068237,14723.850,17336.331,3.6271
103,ei_only_ablation,1,-0.093068237,0.000,607.801,0.0000
103,ei_only_ablation,2,-0.093068237,0.000,1211.976,0.0000
103,ei_only_ablation,3,-0.093068237,722.928,1934.903,0.0000
103,ei_only_ablation,4,-0.093068237,1304.026,2516.001,0.0000
103,ei_only_ablation,5,-0.093068237,2060.916,3272.891,0.0000
103,ei_only_ablation,6,-0.093068237,2060.916,4061.521,0.0000
103,ei_only_ablation,7,-0.093068237,3398.215,5398.821,0.0000
103,ei_only_ablation,8,-0.093068237,3937.978,5938.584,0.0000
103,ei_only_ablation,9,-0.093068237,4522.937,6523.543,0.0076
103,ei_only_ablation,10,-0.093068237,5861.079,7861.685,0.0148
103,ei_only_ablation,11,-0.093068237,6439.091,8439.696,0.0244
103,ei_only_ablation,12,-0.093068237,7198.746,9199.352,0.0320
103,ei_only_ablation,13,-0.093068237,7705.502,9706.107,0.0420
103,ei_only_ablation,14,-0.093068237,8238.151,10238.756,0.0494
103,ei_only_ablation,15,-0.093068237,8993.789,10994.395,0.0587
103,ei_only_ablation,16,-0.093068237,9695.949,11696.554,0.0657
103,ei_only_ablation,17,-0.093068237,10342.760,12343.365,0.0939
103,ei_only_ablation,18,-0.093068237,11687.955,13688.561,0.1228
103,ei_only_ablation,19,-0.093068237,12188.557,14189.163,0.1359
103,ei_only_ablation,20,-0.093068237,12947.852,14948.458,0.1467
103,ei_only_ablation,21,-0.093068237,13466.897,15467.503,0.1631
103,ei_only_ablation,22,-0.093068237,13967.883,15968.488,0.1706
103,ei_only_ablation,23,-0.093068237,14723.850,16724.456,0.1814
103,ei_only_ablation,24,-0.093068237,15258.903,17259.509,0.1884
107,vanilla_bo_penalty,1,,631.105,631.105,0.0000
107,vanilla_bo_penalty,2,-0.093068237,631.105,1242.980,0.0000
107,vanilla_bo_penalty,3,-0.093068237,1166.158,1778.033,0.0000
107,vanilla_bo_penalty,4,-0.093068237,1751.117,2362.992,0.0000
107,vanilla_bo_penalty,5,-0.093068237,2453.277,3065.151,0.0000
107,vanilla_bo_penalty,6,-0.093068237,3212.572,3824.446,0.0000
107,vanilla_bo_penalty,7,-0.093068237,3745.221,4357.095,0.0000
107,vanilla_bo_penalty,8,-0.093068237,4251.976,4863.851,0.0000
107,vanilla_bo_penalty,9,-0.093068237,4901.881,5513.756,0.0102
107,vanilla_bo_penalty,10,-0.093068237,6247.076,6858.951,0.0174
107,vanilla_bo_penalty,11,-0.093068237,6247.076,7463.126,0.0273
107,vanilla_bo_penalty,12,-0.093068237,6247.076,8070.927,0.0335
107,vanilla_bo_penalty,13,-0.093068237,6893.888,8717.738,0.0432
107,vanilla_bo_penalty,14,-0.093068237,7591.560,9415.410,0.0527
107,vanilla_bo_penalty,15,-0.093068237,8929.701,10753.552,0.0598
107,vanilla_bo_penalty,16,-0.093068237,9444.850,11268.701,0.0671
107,vanilla_bo_penalty,17,-0.093068237,9963.895,11787.746,0.0760
107,vanilla_bo_penalty,18,-0.093068237,10464.881,12288.731,0.0833
107,vanilla_bo_penalty,19,-0.093068237,10464.881,13077.361,0.0931
107,vanilla_bo_penalty,20,-0.093068237,10464.881,13860.397,0.1014
107,vanilla_bo_penalty,21,-0.093068237,10464.881,14648.780,0.1107
107,vanilla_bo_penalty,22,-0.093068237,11220.848,15404.748,0.1187
107,vanilla_bo_penalty,23,-0.093068237,11980.504,16164.403,0.1271
107,vanilla_bo_penalty,24,-0.093068237,12560.201,16744.100,0.1351
107,flowguard_calibrated,1,,631.105,631.105,0.0000
107,flowguard_calibrated,2,-0.093068237,631.105,1242.980,0.0000
